service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
284,0,0,0,0,0,0,1,20250406,20251207
315,0,0,0,0,0,0,0,20250805,20250806
132,1,1,1,1,0,0,0,20250325,20251211
281,0,0,0,0,0,1,0,20250405,20251213
298,1,1,1,1,1,1,0,20250325,20251213
267,0,0,0,0,0,0,0,20250526,20250526
130,0,0,0,0,0,0,0,20250602,20250602
299,0,0,0,0,0,0,0,20250606,20250606
333,0,0,0,0,0,0,0,20251208,20251210
316,0,0,0,0,0,0,0,20250811,20250813
133,0,0,0,0,0,0,1,20250330,20251207
282,1,1,1,1,1,1,0,20250325,20251213
317,0,0,0,0,0,0,0,20250818,20250820
331,0,0,0,0,0,0,0,20251124,20251126
314,0,0,0,0,0,0,0,20250721,20250723
332,0,0,0,0,0,0,0,20251201,20251203
280,1,1,1,1,1,0,0,20250325,20251212
297,0,0,0,0,0,0,0,20250501,20250501
283,1,1,1,1,1,1,0,20250325,20251213
266,0,0,0,0,0,0,0,20250524,20250524
131,0,0,0,0,0,0,0,20251027,20251027
300,0,0,0,1,1,1,0,20250327,20251213
278,0,0,0,0,0,1,0,20250329,20251213
301,0,0,0,0,0,0,0,20250428,20250430
126,1,1,1,1,0,1,0,20250325,20251213
321,0,0,0,0,0,0,0,20250915,20250917
135,0,1,1,1,1,0,0,20250325,20251212
144,1,0,0,0,0,0,0,20250407,20250409
330,0,0,0,0,0,0,0,20251117,20251119
276,0,0,0,0,0,1,0,20250329,20251213
121,0,0,0,0,0,0,0,20250804,20250804
319,0,0,0,0,0,0,0,20250901,20250903
287,0,0,0,0,1,0,0,20250328,20251212
310,0,0,0,0,0,0,0,20250630,20250702
296,1,1,1,1,1,1,0,20250325,20251213
119,0,0,0,0,0,0,0,20250418,20250418
305,0,0,0,0,0,0,0,20250526,20250528
328,0,0,0,0,0,0,0,20251103,20251105
271,0,0,0,0,0,0,0,20250811,20250811
285,1,1,1,1,0,1,0,20250325,20251213
128,0,0,0,0,0,0,0,20250421,20250421
53,0,0,0,0,0,0,1,20250330,20250330
294,1,1,1,1,1,1,0,20250325,20251213
326,0,0,0,0,0,0,0,20251020,20251022
269,0,0,0,0,0,0,0,20250809,20250809
303,0,0,0,0,0,0,0,20250512,20250514
312,0,0,0,0,0,0,0,20250714,20250716
137,0,0,0,0,1,0,0,20250328,20251212
52,0,0,0,0,0,1,0,20250329,20250329
295,0,0,0,0,0,0,1,20250413,20251207
118,1,1,1,1,1,0,0,20250325,20251212
327,0,0,0,0,0,0,0,20251028,20251029
318,0,0,0,0,0,0,0,20250825,20250827
129,0,0,0,0,0,0,0,20250505,20250505
304,0,0,0,0,0,0,0,20250519,20250521
313,0,0,0,0,0,0,0,20250728,20250730
127,0,0,0,0,1,0,0,20250328,20251212
293,1,1,1,1,1,1,0,20250325,20251213
279,0,0,0,0,0,0,0,20250426,20250426
270,0,0,0,0,0,0,0,20250810,20250810
288,0,0,0,0,0,0,0,20250509,20250509
311,0,0,0,0,0,0,0,20250707,20250709
136,0,0,0,0,1,1,0,20250328,20251213
268,0,0,0,0,0,0,0,20250525,20250525
302,0,0,0,0,0,0,0,20250506,20250507
145,0,0,0,0,0,0,0,20250422,20250423
286,0,0,0,0,0,0,1,20250406,20250406
134,1,0,0,0,0,0,0,20250331,20251208
143,0,0,0,0,0,0,0,20250414,20250416
120,0,0,0,0,0,0,1,20250330,20251207
329,0,0,0,0,0,0,0,20251110,20251112
277,0,0,0,0,0,0,0,20250510,20250510
320,0,0,0,0,0,0,0,20250908,20250910
138,1,1,1,1,0,1,0,20250325,20251213
324,0,0,0,0,0,0,0,20251006,20251008
275,0,0,0,0,0,0,0,20250420,20250420
272,0,0,0,0,0,1,0,20250329,20251213
292,1,1,1,1,0,0,0,20250325,20251211
307,0,0,0,0,0,0,0,20250609,20250611
322,0,0,0,0,0,0,0,20250922,20250924
273,0,0,0,0,0,0,0,20250419,20250419
141,0,1,1,0,0,0,0,20250325,20250326
124,1,1,1,1,1,1,0,20250325,20251213
290,1,1,1,1,1,1,0,20250325,20251213
142,1,1,1,0,0,0,0,20250331,20250402
125,1,1,1,1,1,1,0,20250325,20251213
291,0,0,0,0,0,1,0,20250405,20250405
139,1,1,1,1,1,1,0,20250325,20251213
308,0,0,0,0,0,0,0,20250616,20250618
325,0,0,0,0,0,0,0,20251013,20251015
122,1,1,1,1,1,0,0,20250325,20251212
274,0,0,0,0,0,0,1,20250330,20251207
108,0,0,0,0,0,1,0,20250329,20251213
309,0,0,0,0,0,0,0,20250623,20250625
140,1,1,1,1,1,1,0,20250327,20251213
123,1,1,1,1,1,0,0,20250325,20251212
289,0,0,0,0,0,0,1,20250330,20251207
306,0,0,0,0,0,0,0,20250603,20250604
323,0,0,0,0,0,0,0,20250929,20251001
