service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
52,0,0,0,0,0,1,0,20250329,20250329
53,0,0,0,0,0,0,1,20250330,20250330
103,0,1,0,0,0,0,0,20250325,20250325
104,0,0,1,0,0,0,0,20250326,20250326
105,0,0,0,1,0,0,0,20250327,20250327
106,0,0,0,0,1,0,0,20250328,20250328
166,0,0,0,0,0,1,0,20250405,20250927
195,1,0,0,0,0,0,0,20250331,20251124
196,0,1,0,0,0,0,0,20250325,20251125
197,0,0,1,0,0,0,0,20250326,20251126
198,0,0,0,1,0,0,0,20250327,20251127
199,0,0,0,0,1,0,0,20250328,20251128
200,0,0,0,0,0,1,0,20250329,20251129
201,0,0,0,0,0,0,1,20250330,20251123
202,1,0,0,0,0,0,0,20250331,20250331
203,0,0,1,0,0,0,0,20250402,20250409
204,0,0,0,1,0,0,0,20250403,20250410
205,0,1,0,0,0,0,0,20250401,20250527
206,0,0,0,0,1,0,0,20250404,20250411
207,1,0,0,0,0,0,0,20250407,20250526
208,1,0,0,0,0,0,0,20250414,20250922
209,0,1,0,0,0,0,0,20250415,20250923
210,0,0,1,0,0,0,0,20250416,20250924
211,0,0,0,1,0,0,0,20250417,20250925
212,0,0,0,0,1,0,0,20250418,20250926
213,0,0,0,0,0,0,1,20250406,20250921
